,outlet_id,balance,total_quantity,total_price,order_frequency_avg,days_late_delivery_avg,days_until_delivery_avg,ordering_pattern_mode,high_qty_high_amt,high_qty_less_amt,less_qty_high_amt,less_qty_less_amt,beat_name,city,pin,state,outletcategory
31580,155166,3727,24,1422,20,0,0,Infrequent,1,0,0,2,Vinayak Nagar,Secunderabad,500056.0,TELANGANA,Kirana / Grocery / General Store
31581,155167,1622,16,811,11,0,0,Infrequent,0,2,0,0,Sullurupeta,Sullurpeta,524121.0,ANDHRA PRADESH,Kirana / Grocery / General Store
31582,155169,11208,39,5604,7,0,0,Infrequent,2,0,0,0,Loni,Rahuri,413736.0,MAHARASHTRA,Kirana / Grocery / General Store
31583,155170,0,13,2868,7,0,0,Infrequent,2,0,0,0,Miraj Town,Sangli,416410.0,MAHARASHTRA,Kirana / Grocery / General Store
31584,155176,4618,12,769,13,0,0,Regular,1,3,0,2,Sullurupeta,Sullurpeta,524121.0,ANDHRA PRADESH,Pan / Cigarette Shop / Tea Point
31585,155177,0,59,8346,17,0,0,Frequent,6,0,1,0,Vita,Vita,410301.0,MAHARASHTRA,Kirana / Grocery / General Store
31586,155179,8012,6,7148,9,0,0,Frequent,2,0,9,0,Hukkeri,Ramdurg,591309.0,KARNATAKA,Kirana / Grocery / General Store
31587,155180,3595,12,719,15,0,0,Regular,1,2,0,2,Sullurupeta,Sullurpeta,524121.0,ANDHRA PRADESH,Kirana / Grocery / General Store
31588,155184,545,4,1592,19,0,0,Regular,0,0,4,1,Hukkeri,Ramdurg,591309.0,KARNATAKA,Kirana / Grocery / General Store
31589,155185,1597,22,1114,30,0,0,Infrequent,1,1,0,0,Vinayak Nagar,Secunderabad,500056.0,TELANGANA,Kirana / Grocery / General Store
31590,155188,3902,18,975,19,0,0,Regular,1,3,0,0,Sullurupeta,Sullurpeta,524121.0,ANDHRA PRADESH,Kirana / Grocery / General Store
31591,155189,0,14,2301,15,0,0,Frequent,4,0,0,1,Miraj Town,Sangli,416410.0,MAHARASHTRA,Kirana / Grocery / General Store
31592,155191,1597,14,709,20,0,0,Infrequent,1,0,0,2,Vinayak Nagar,Secunderabad,500056.0,TELANGANA,Kirana / Grocery / General Store
31593,155192,1023,8,511,11,0,0,Infrequent,0,1,0,1,Sullurupeta,Sullurpeta,524121.0,ANDHRA PRADESH,Self Service Store / Stand Alone / Super Market
31594,155193,19369,4,2839,8,0,0,Frequent,1,0,10,0,Hukkeri,Ramdurg,591309.0,KARNATAKA,Kirana / Grocery / General Store
31595,155194,1637,5,810,14,0,0,Frequent,1,0,1,2,Hukkeri,Ramdurg,591309.0,KARNATAKA,Kirana / Grocery / General Store
31596,155195,0,6,959,12,0,0,Frequent,0,0,0,5,Miraj Town,Sangli,416410.0,MAHARASHTRA,Kirana / Grocery / General Store
31597,155196,1597,21,1064,30,0,0,Infrequent,1,1,0,0,Vinayak Nagar,Secunderabad,500056.0,TELANGANA,Kirana / Grocery / General Store
31598,155197,2437,16,812,26,0,0,Infrequent,0,3,0,0,Sullurupeta,Sullurpeta,524121.0,ANDHRA PRADESH,Kirana / Grocery / General Store
31599,155201,1091,4,717,34,0,0,Infrequent,0,0,1,1,Hukkeri,Ramdurg,591309.0,KARNATAKA,Kirana / Grocery / General Store
31600,155205,1863,16,931,7,0,0,Infrequent,0,2,0,0,Main Market (Ilkal),Bagalkote,587103.0,KARNATAKA,Bakery / Sweets & Snacks Shop / Juice Center
31601,155207,0,84,13756,8,0,0,Frequent,12,0,0,0,Bedag - Narwad - Mhaisal,Miraj,416409.0,MAHARASHTRA,Dairy / Ice Cream Parlour
31602,155208,999,6,499,11,0,0,Infrequent,0,0,0,2,Sullurupeta,Sullurpeta,524121.0,ANDHRA PRADESH,Self Service Store / Stand Alone / Super Market
31603,155209,2129,13,709,9,0,0,Regular,0,2,0,1,Main Market (Ilkal),Bagalkote,587103.0,KARNATAKA,Bakery / Sweets & Snacks Shop / Juice Center
31604,155211,1597,18,915,30,0,0,Infrequent,1,0,0,1,Vinayak Nagar,Secunderabad,500056.0,TELANGANA,Kirana / Grocery / General Store
31605,155212,2213,12,737,9,0,0,Regular,0,2,0,1,Main Market (Ilkal),Bagalkote,587103.0,KARNATAKA,Bakery / Sweets & Snacks Shop / Juice Center
31606,155213,2437,16,812,26,0,0,Infrequent,0,3,0,0,Sullurupeta,Sullurpeta,524121.0,ANDHRA PRADESH,Kirana / Grocery / General Store
31607,155214,1397,14,698,14,0,0,Infrequent,0,2,0,0,Main Market (Ilkal),Bagalkote,587103.0,KARNATAKA,Bakery / Sweets & Snacks Shop / Juice Center
31608,155215,1204,23,602,14,0,0,Infrequent,0,2,0,0,Main Market (Ilkal),Bagalkote,587103.0,KARNATAKA,Bakery / Sweets & Snacks Shop / Juice Center
31609,155217,10415,49,2083,12,0,0,Regular,5,0,0,0,Sullurupeta,Sullurpeta,524121.0,ANDHRA PRADESH,Wholesaler
31610,155218,1597,11,610,20,0,0,Infrequent,0,2,0,1,Vinayak Nagar,Secunderabad,500056.0,TELANGANA,Kirana / Grocery / General Store
31611,155219,3394,17,848,24,0,0,Regular,1,2,0,1,Sullurupeta,Sullurpeta,524121.0,ANDHRA PRADESH,Wholesaler
31612,155220,2246,14,748,9,0,0,Regular,0,3,0,0,Main Market (Ilkal),Bagalkote,587103.0,KARNATAKA,Bakery / Sweets & Snacks Shop / Juice Center
31613,155221,1931,14,965,14,0,0,Infrequent,1,1,0,0,Main Market (Ilkal),Bagalkote,587103.0,KARNATAKA,Bakery / Sweets & Snacks Shop / Juice Center
31614,155222,0,27,1160,14,0,0,Regular,5,0,0,1,Miraj Town,Sangli,416410.0,MAHARASHTRA,Kirana / Grocery / General Store
31615,155225,1863,20,1144,30,0,0,Infrequent,1,0,0,1,Vinayak Nagar,Secunderabad,500056.0,TELANGANA,Kirana / Grocery / General Store
31616,155226,0,18,1928,17,0,0,Frequent,5,0,0,2,Malnaka - Karwanchiwadi,Ratnagiri,415612.0,MAHARASHTRA,Kirana / Grocery / General Store
31617,155228,0,15,1567,10,0,0,Frequent,10,0,0,1,Malnaka - Karwanchiwadi,Ratnagiri,415612.0,MAHARASHTRA,Kirana / Grocery / General Store
31618,155231,20197,22,3006,13,0,0,Regular,6,0,2,0,Haliyal Town,Alnavar,581329.0,KARNATAKA,Kirana / Grocery / General Store
31619,155233,1863,16,931,6,0,0,Infrequent,0,2,0,0,Main Market (Ilkal),Bagalkote,587103.0,KARNATAKA,Kirana / Grocery / General Store
31620,155234,5372,26,1937,20,0,0,Infrequent,1,1,0,1,Vinayak Nagar,Secunderabad,500056.0,TELANGANA,Kirana / Grocery / General Store
31621,155235,5142,10,530,10,0,0,Frequent,0,5,0,6,ITI Circle,Anantapur,516002.0,ANDHRA PRADESH,Kirana / Grocery / General Store
31622,155236,13178,36,1882,13,0,0,Regular,6,1,0,0,Sullurupeta,Sullurpeta,524121.0,ANDHRA PRADESH,Wholesaler
31623,155237,1249,11,711,19,0,0,Regular,1,0,0,3,Sullurupeta,Sullurpeta,524121.0,ANDHRA PRADESH,Self Service Store / Stand Alone / Super Market
31624,155238,2312,12,802,28,0,0,Occasional,1,0,0,3,Vinayak Nagar,Secunderabad,500056.0,TELANGANA,Pan / Cigarette Shop / Tea Point
31625,155239,1664,16,832,15,0,0,Infrequent,0,2,0,0,Sullurupeta,Sullurpeta,523121.0,ANDHRA PRADESH,Pan / Cigarette Shop / Tea Point
31626,155240,2396,16,798,9,0,0,Regular,0,3,0,0,Main Market (Ilkal),Bagalkote,587103.0,KARNATAKA,Bakery / Sweets & Snacks Shop / Juice Center
31627,155242,2920,6,324,12,0,0,Frequent,0,2,0,7,ITI Circle,Anantapur,516003.0,ANDHRA PRADESH,Kirana / Grocery / General Store
31628,155243,2416,5,268,11,0,0,Frequent,0,1,0,8,ITI Circle,Anantapur,516003.0,ANDHRA PRADESH,Self Service Store / Stand Alone / Super Market
31629,155244,1896,18,1297,30,0,0,Infrequent,1,1,0,0,Vinayak Nagar,Secunderabad,500056.0,TELANGANA,Kirana / Grocery / General Store
31630,155247,2202,6,314,10,0,0,Frequent,0,1,0,6,Harinathpuram,Nellore,524003.0,ANDHRA PRADESH,Self Service Store / Stand Alone / Super Market
31631,155249,6008,10,600,11,0,0,Frequent,2,3,0,5,ITI Circle,Anantapur,516003.0,ANDHRA PRADESH,Kirana / Grocery / General Store
31632,155251,0,11,1135,12,0,0,Frequent,6,0,0,1,Malnaka - Karwanchiwadi,Ratnagiri,415612.0,MAHARASHTRA,Kirana / Grocery / General Store
31633,155253,1896,14,1064,30,0,0,Infrequent,1,0,0,1,Vinayak Nagar,Secunderabad,500056.0,TELANGANA,Kirana / Grocery / General Store
31634,155254,0,754,73109,9,0,0,Frequent,13,0,0,0,Khedashi - Pali,Ratnagiri,415612.0,MAHARASHTRA,Kirana / Grocery / General Store
31635,155255,1896,15,1097,30,0,0,Infrequent,1,0,0,1,Vinayak Nagar,Secunderabad,500056.0,TELANGANA,Kirana / Grocery / General Store
